initialLabel,binaryInitialLabel,title,url,numTrueVotes,numFalseVotes,totalVotes,maxVotes,interraterPercentAgreement,agreementWithLabel,votersLabel,voterLabelWasAccurate,averageInterraterPercentAgreement,averageAgreementWithLabel,percentOfAgreeingDecisions
FALSE,0, Video clip shows people keep leaving Phuket.,https://www.poynter.org/?ifcn_misinformation=surin-provinces-governor-in-thailand-revealed-that-100000-people-are-infected,5,1,6,5,0.833333333,0.166666667,1,0,0.833510951,0.67524701,0.731385619
FALSE,0, Using hot air from a hair dryer on sinuses can prevent and treat COVID-19,https://www.poynter.org/?ifcn_misinformation=using-hot-air-from-a-hair-dryer-against-sinuses-can-prevent-and-treat-covid19,0,5,5,5,1,1,0,1,N/A,N/A,N/A
FALSE,0, This video shows a woman eating a bat soup in Wuhan.,https://www.poynter.org/?ifcn_misinformation=this-video-shows-a-woman-eating-a-bat-soup-in-wuhan,0,5,5,5,1,1,0,1,N/A,N/A,N/A
TRUE,1,Premier League looking at 'clinical passports' for fans - Masters,https://www.bbc.co.uk/sport/football/53605863,5,2,7,5,0.714285714,0.714285714,1,1,N/A,N/A,N/A
TRUE,1,What to expect as GOP hammers out its coronavirus relief package,https://www.politico.com/newsletters/weekly-education/2020/07/27/what-to-expect-as-gop-hammers-out-its-coronavirus-relief-package-789433,5,1,6,5,0.833333333,0.833333333,1,1,N/A,N/A,N/A
TRUE,1,3M brings on another lobbying firm,https://www.politico.com/newsletters/politico-influence/2020/08/06/3m-brings-on-another-lobbying-firm-789701,5,0,5,5,1,1,1,1,N/A,N/A,N/A
FALSE,0, â€œSame little boy died of COVID-19 in three different countries. Still donâ€™t believe the media is #fakenews?â€,https://www.poynter.org/?ifcn_misinformation=same-little-boy-died-of-covid-19-in-three-different-countries-still-dont-believe-the-media-is-fakenews,3,4,7,4,0.571428571,0.571428571,0,1,N/A,N/A,N/A
FALSE,0, â€œCoronavirus: Florida man arrested for robbery using cough as a weapon.â€,https://www.poynter.org/?ifcn_misinformation=coronavirus-florida-man-arrested-for-robbery-using-cough-as-a-weapon,3,4,7,4,0.571428571,0.571428571,0,1,N/A,N/A,N/A
FALSE,0, A post says â€œhair weave and lace fronts manufactured in China may contain the coronavirus.â€,https://www.poynter.org/?ifcn_misinformation=hair-weave-and-lace-fronts-manufactured-in-china-may-contain-the-coronavirus,1,4,5,4,0.8,0.8,0,1,N/A,N/A,N/A
FALSE,0," â€œCocaine kills coronavirus, scientists are shocked to discover that this drug can fight the virus.â€",https://www.poynter.org/?ifcn_misinformation=cocaine-kills-coronavirus-scientists-is-shocked-to-discover-that-this-drug-can-fight-the-virus,1,4,5,4,0.8,0.8,0,1,N/A,N/A,N/A
FALSE,0, The government is closing businesses to stop the spread of coronavirus even though â€œthe numbers are nothing compared to H1N1 or Ebola. Everyone needs to realize our government is up to something â€¦â€,https://www.poynter.org/?ifcn_misinformation=the-government-is-closing-businesses-to-stop-the-spread-of-coronavirus-even-though-the-numbers-are-nothing-compared-to-h1n1-or-ebola-everyone-needs-to-realize-our-government-is-up-to-something,0,4,4,4,1,1,0,1,N/A,N/A,N/A
FALSE,0, Drinking a bleach solution will prevent you from getting the coronavirus.,https://www.poynter.org/?ifcn_misinformation=says-drinking-a-bleach-solution-will-prevent-you-from-getting-the-coronavirus,0,4,4,4,1,1,0,1,N/A,N/A,N/A
